事業所番号,サービス種類,法人名称,事業所名,郵便番号,事業所所在地,電話番号,FAX番号,行政区
2610103810,訪問看護,医療法人社団田村外科,医療法人社団田村外科,6038085,北区上賀茂蝉ヶ垣内町４６－２,721-9313,712-1302,北区
2610104461,訪問看護,医療法人裕泰会足立医院,医療法人裕泰会足立医院,6038344,北区等持院南町１９－３,463-1808,,北区
2660190014,訪問看護,一般財団法人京都地域医療学際研究所,訪問看護ステーション「がくさい」,6038223,北区紫野東藤ノ森町11番地３,431-6154,431-6164,北区
2660190048,訪問看護,社会福祉法人京都博愛会,社会福祉法人京都博愛会　訪問看護ステーションはくあい,6038041,北区上賀茂ケシ山１番地,781-2711,781-2711,北区
2619700053,訪問看護,独立行政法人　地域医療機能推進機構,独立行政法人　地域医療機能推進機構　京都鞍馬口医療センター,6038151,北区小山下総町２７,441-6101,432-0825,北区
2610104669,訪問看護,,つつみ医院,6038075,北区上賀茂中大路町１２－１,724-2237,724-2237,北区
2610104651,訪問看護,,ふくやまクリニック,6038156,北区小山中溝町３１アーバン紫園１階,417-1522,417-1521,北区
2610104446,訪問看護,,田中眼科,6038132,北区小山下内河原町８１栄研ビル２Ｆ,493-0924,,北区
2610104503,訪問看護,,藤本医院,6038487,北区大北山原谷乾町２０７ー３,463-0410,,北区
2610104677,訪問看護,,坂本医院,6038345,北区平野八丁柳町６６－９,462-4640,,北区
2610104917,訪問看護,医療法人　大友整形外科,医療法人大友整形外科,6038152,北区鞍馬口通室町西入小山町２２０番地,417-0787,,北区
2610105070,訪問看護,,つるみ医院,6038242,北区紫野上野町１３０－１サンパレス紫野,491-0061,,北区
2660290053,訪問看護,医療法人社団行陵会,医療法人社団行陵会訪問看護ステーション平野,6038342,北区小松原南町10番地,466-6565,466-6560,北区
2660190063,訪問看護,有限会社春うらら,訪問看護ステーション春うらら,6038813,北区西賀茂大道口町32番地,495-4084,495-4083,北区
2610105278,訪問看護,医療法人社団都会,医療法人社団都会渡辺西賀茂診療所,6038832,北区大宮南田尻町５９番地,493-2124,493-5584,北区
2610105310,訪問看護,医療法人梁山会,医療法人梁山会診療所,6038331,北区大将軍西町163,461-1555,461-1505,北区
2660190071,訪問看護,医療法人社団都会,医療法人社団都会　訪問看護ステーションにしがも,6038832,北区大宮南田尻町５９番地,493-2124,493-5584,北区
2660190089,訪問看護,株式会社孔仁舎訪問看護ステーション碧い音,訪問看護ステーション碧い音,6038364,北区平野桜木町１８－１,467-3245,467-3135,北区
2660190097,訪問看護,医療法人三幸会,医療法人三幸会訪問看護ステーションからすましめい,6038151,北区小山下総町5番地1部落解放センター１F,411-9080,411-9099,北区
2610105567,訪問看護,医療法人にしい内科医院,医療法人にしい内科医院,6038179,北区紫竹上梅ノ木町60-3,493-2200,493-2204,北区
2660190113,訪問看護,有限会社パイン・コーン,訪問看護ステーションおとく,6038149,北区小山南上総町7番地,411-9371,411-9372,北区
2660290145,訪問看護,Ｔ・Ｈ・Ｓグループ合同会社,訪問看護ステーションのどか,6038225,北区紫野南舟岡町70-25,451-6280,451-6281,北区
2660290152,訪問看護,特定非営利活動法人福祉広場,訪問看護ステーションひろば,6038356,北区平野東柳町38番地,366-8190,366-8290,北区
2660790292,訪問看護,ほっとオレンジ合同会社,訪問看護ステーション　つむぎ,6038203,北区紫竹東高縄町18番地5S＆Sビル2階,874-5830,950-1185,北区
2660190147,訪問看護,独立行政法人　地域医療機能推進機構,独立行政法人地域医療機能推進機構　京都鞍馬口医療センター　訪問看護ステーション　くらまぐち,6038151,北区小山下総町２７番地,441-6101,432-6768,北区
2660190154,訪問看護,有限会社アカザワ,ナースステーションしんらい,6038172,北区小山初音町10番地3,495-7123,495-7124,北区
2660190162,訪問看護,株式会社和と礼,訪問看護ステーション　ワトレイきた,6038247,北区紫野泉堂町23番地4,323-7090,323-7705,北区
2660190188,訪問看護,医療法人社団洛和会,洛和会訪問看護ステーション北大路,6038175,北区紫野下鳥田町56番地の1,494-3339,491-8890,北区
2660190196,訪問看護,ファミリー・ホスピス株式会社,訪問看護ファミリー・ホスピス京都北山,6038056,北区上賀茂石計町74番地の1,366-4570,366-4332,北区
2610105823,訪問看護,医療法人　和み会,医療法人和み会　なかつかさ内科・在宅クリニック,6038208,北区紫竹西桃ノ本町56番地,366-1268,366-1269,北区
2660190212,訪問看護,合同会社ベーシック,訪問看護ステーションれん,6038452,北区衣笠開キ町27-2,432-8926,432-8946,北区
2610105385,訪問看護,医療法人六合会診療所,医療法人六合会診療所,6038214,北区紫野雲林院町18-1,411-1165,411-1230,北区
2660190220,訪問看護,合同会社Ｃｏｎｎｅｐ１,訪問看護ステーション　マタクル,6038134,北区出雲路立テ本町108番地112,744-6489,708-6937,北区
2664190317,訪問看護,株式会社Ｒ＆Ｄ,訪問看護ステーション　ちょこ,6038436,北区紫竹西栗栖町38番地2パーパス紫竹1階,432-8444,432-8446,北区
2660190246,訪問看護,株式会社Ｄｅａｒ　ｆａｍ,訪問看護ステーションＤｅａｒ　ｆａｍ,6038316,北区衣笠北荒見町5番地1,284-0617,284-0616,北区
2660190253,訪問看護,ＮＰＯ法人こども未来　,Sunny訪問看護ステーション,6038425,北区紫竹下緑町17番地8SEEKビル1階,468-1807,366-1394,北区
2660190261,訪問看護,一般社団法人かのん,カノンきたやま　訪問看護ステーション,6038052,北区上賀茂松本町96番地1,070-3350-4034,050-3737-6288,北区
2660190279,訪問看護,訪問看護ステーションごーるでん合同会社,訪問看護ステーションごーるでん合同会社,6038336,北区大将軍一条町68番地１F,366-0538,366-0539,北区
2660190287,訪問看護,株式会社ＡＴＡＭＡＯＶＥＲ,訪問看護リハビリステーション　ふらっと,6038312,北区紫野中柏野町37番地16,334-8770,334-8771,北区
2660190295,訪問看護,あなぶきメディカルケア株式会社,あなぶきケアサービス京都　訪問看護ステーション,6038105,北区小山西玄以町34番地1,334-6080,334-6011,北区
2610104461,訪問リハビリテーション,医療法人裕泰会足立医院,医療法人裕泰会足立医院,6038344,北区等持院南町１９－３,463-1808,,北区
2610100964,訪問リハビリテーション,社会福祉法人京都博愛会,京都博愛会病院,6038041,北区上賀茂ケシ山１,781-1131,781-7006,北区
2610104446,訪問リハビリテーション,,田中眼科,6038132,北区小山下内河原町８１栄研ビル２Ｆ,493-0924,,北区
2630101158,訪問リハビリテーション,,森歯科医院,6038363,北区衣笠総門町１６番地の２,461-2800,,北区
2610104917,訪問リハビリテーション,医療法人　大友整形外科,医療法人大友整形外科,6038152,北区鞍馬口通室町西入小山町２２０番地,417-0787,,北区
2610105062,訪問リハビリテーション,医療法人財団康生会,医療法人財団康生会　北山武田病院,6038053,北区上賀茂岩ヶ垣内町９９番地,721-1612,701-7399,北区
2610104339,訪問リハビリテーション,医療法人整形外科鈴木医院,医療法人整形外科鈴木医院,6038405,北区大宮西小野堀町５,495-8185,495-8186,北区
2650180017,訪問リハビリテーション,社会福祉法人七野会,介護老人保健施設ライブリィきぬかけ訪問リハビリテーション,6038487,北区大北山原谷乾町１２７番地１,466-5066,466-5733,北区
2610105278,訪問リハビリテーション,医療法人社団都会,医療法人社団都会渡辺西賀茂診療所,6038832,北区大宮南田尻町５９番地,493-2124,493-5584,北区
2610105310,訪問リハビリテーション,医療法人梁山会,医療法人梁山会診療所,6038331,北区大将軍西町163,461-1555,461-1505,北区
2650180025,訪問リハビリテーション,一般財団法人京都地域医療学際研究所,介護老人保健施設「がくさい」,6038465,北区鷹峯土天井町５４番地,494-0318,495-2161,北区
2610101806,訪問リハビリテーション,社会福祉法人京都博愛会,富田病院,6038132,北区小山下内河原町56,491-3241,491-7307,北区
2610105864,訪問リハビリテーション,医療法人侑眞会　むらにしクリニック,医療法人侑眞会　むらにしクリニック,6038378,北区衣笠御所ノ内町31番地アクエルド金閣寺1F,467-5005,467-5006,北区
2610105898,訪問リハビリテーション,医療法人こなか医院,医療法人こなか医院,6038035,北区上賀茂朝露ケ原町10番地,723-0330,723-0325,北区
2610103315,訪問リハビリテーション,医療法人　葵会　,医療法人葵会　上賀茂診療所,6038077,北区上賀茂藤ノ木町21番地,781-1409,701-8444,北区
2610102093,居宅療養管理指導,医療法人　葵会　,医療法人葵会　かも川診療所,6038135,北区出雲路俵町１５,231-3803,231-3853,北区
2610103315,居宅療養管理指導,医療法人　葵会　,医療法人葵会　上賀茂診療所,6038077,北区上賀茂藤ノ木町２１,781-1409,,北区
2610103943,居宅療養管理指導,医療法人伊吹医院,医療法人　伊吹医院,6038205,北区紫竹西高縄町９５,492-5732,,北区
2610104164,居宅療養管理指導,医療法人臼井医院,医療法人　臼井医院,6038225,北区紫野南舟岡町７８－１５,415-2221,,北区
2610103729,居宅療養管理指導,医療法人社団　西川クリニック,医療法人社団　西川クリニック,6038172,北区小山初音町４３番地,492-0750,492-0346,北区
2610103778,居宅療養管理指導,医療法人社団竹中医院,医療法人社団　竹中医院,6038166,北区紫野上御所田町２４,491-7984,,北区
2610103810,居宅療養管理指導,医療法人社団田村外科,医療法人社団　田村外科,6038085,北区上賀茂蝉ヶ垣内町４６－２,721-9313,,北区
2610103877,居宅療養管理指導,医療法人社団都会,医療法人社団都会　渡辺医院,6038832,北区大宮南田尻町56番地,493-4300,,北区
2610103638,居宅療養管理指導,医療法人社団余診療所,医療法人社団　余診療所,6038246,北区紫野西泉堂町３,491-8222,,北区
2610104339,居宅療養管理指導,医療法人整形外科鈴木医院,医療法人　整形外科鈴木医院,6038405,北区大宮西小野堀町５,495-8185,,北区
2610103745,居宅療養管理指導,医療法人蒼生会,医療法人蒼生会　田中医院,6038374,北区衣笠高橋町３９,461-7961,461-7931,北区
2630101760,居宅療養管理指導,医療法人東山歯科医院,医療法人東山歯科医院,6038147,北区鞍馬口通室町東入上御霊上江町２３２番１６,411-4888,,北区
2610101202,居宅療養管理指導,医療法人浜田会,（医）浜田会洛北病院,6038002,北区上賀茂神山６番地,701-0151,791-9201,北区
2610104222,居宅療養管理指導,医療法人北村医院,医療法人　北村医院,6038166,北区紫野上御所田町５２,495-0022,,北区
2610104461,居宅療養管理指導,医療法人裕泰会足立医院,医療法人裕泰会　足立医院,6038344,北区等持院南町１９－３,463-1808,,北区
2640100851,居宅療養管理指導,株式会社ゆうホールディングス,おおみやゆう薬局,6038406,北区大宮東小野堀町１番地エスカローナ玉田１階,494-2350,,北区
2640100778,居宅療養管理指導,株式会社ゆうホールディングス,キタオオジゆう薬局,6038143,北区小山北上総町４,495-1103,495-1104,北区
2640100729,居宅療養管理指導,株式会社ゆうホールディングス,大徳寺ゆう薬局,6038221,北区紫野上築山町２番地３北大路court1階,411-2124,,北区
2640100869,居宅療養管理指導,株式会社市橋,紫野調剤薬局,6038214,北区紫野雲林院町１１番地,414-8555,414-8565,北区
2610100964,居宅療養管理指導,社会福祉法人京都博愛会,京都博愛会病院,6038041,北区上賀茂ケシ山１,781-1131,722-9400,北区
2610101806,居宅療養管理指導,社会福祉法人京都博愛会,冨田病院,6038132,北区小山下内河原町５６,491-3241,493-4506,北区
2610102838,居宅療養管理指導,社団法人医師会,医師会雲ケ畑診療所,6038863,北区雲ケ畑中畑町１７６,406-2001,,北区
2639760053,居宅療養管理指導,社団法人全国社会保険協会連合会,社会保険京都病院,6038151,北区小山下総町２７,441-6101,,北区
2640100588,居宅療養管理指導,有限会社つちえ薬局,つちえ薬局,6038375,北区衣笠天神森町３５－１,462-4758,,北区
2640100760,居宅療養管理指導,有限会社健明,さわやか薬局,6038142,北区小山北上総町１９－２,495-0225,,北区
2610104677,居宅療養管理指導,,坂本医院,6038345,北区平野八丁柳町６６－９,462-4640,,北区
2610104610,居宅療養管理指導,,木原医院,6038326,北区北野下白梅町７３ー３白梅町ＭＣビル２Ｆ,461-3700,,北区
2610104503,居宅療養管理指導,,藤本医院,6038487,北区大北山原谷乾町２０７ー３,463-0410,,北区
2610104446,居宅療養管理指導,,田中眼科,6038132,北区小山下内河原町８１栄研ビル２Ｆ,493-0924,,北区
2610104388,居宅療養管理指導,,大仲内科医院,6038207,北区紫竹牛若町３０－２,495-8008,,北区
2610104255,居宅療養管理指導,,田中医院,6038823,北区西賀茂榿ノ木町３,492-4072,,北区
2610104206,居宅療養管理指導,,芦原医院,6038225,北区紫野南舟岡町１,441-6658,,北区
2610103737,居宅療養管理指導,,高山内科医院,6038164,北区紫野東御所田町７,441-9561,,北区
2610103679,居宅療養管理指導,,前田医院,6038355,北区平野上柳町１０－２２,462-1332,,北区
2610103281,居宅療養管理指導,,丸野医院,6038344,北区等持院南町５－３１,461-7561,,北区
2610102770,居宅療養管理指導,,明石医院,6038434,北区紫竹東栗栖町１８の１,491-7190,,北区
2610102291,居宅療養管理指導,,西田内科医院,6038341,北区小松原北町５４,463-4768,,北区
2610101871,居宅療養管理指導,,北川診療所,6038448,北区鷹ケ峰旧土居町１,491-8585,,北区
2630101158,居宅療養管理指導,,森歯科医院,6038363,北区衣笠総門町１６番地の２,461-2800,,北区
2630101299,居宅療養管理指導,,竹脇歯科医院,6038064,北区上賀茂菖蒲園町６７,722-3233,722-3233,北区
2630101661,居宅療養管理指導,,宮本歯科医院,6038416,北区紫竹北大門町３８,495-4555,,北区
2630101851,居宅療養管理指導,,稲塚歯科榊田診療所,6038051,北区上賀茂榊田町８２,722-2212,,北区
2640100703,居宅療養管理指導,,吉田薬局大宮店,6038402,北区大宮南椿原町４８－３,492-5223,,北区
2640100828,居宅療養管理指導,,シチク薬局,6038206,北区紫竹西南町６６,493-8268,,北区
2640100620,居宅療養管理指導,,タクミ薬局,6038247,北区紫野泉堂町２４,492-9575,,北区
2610102259,居宅療養管理指導,,ヤスムラ医院,6038406,北区大宮東小野堀町４７,491-0050,,北区
2610102804,居宅療養管理指導,,富川医院,6038214,北区紫野雲林院町８９の１,441-5266,,北区
2610102861,居宅療養管理指導,,加藤内科医院,6038408,北区大宮北椿原町５８－２,491-6295,,北区
2610102952,居宅療養管理指導,,好地医院,6038055,北区上賀茂高縄手町２８,711-2827,,北区
2610103133,居宅療養管理指導,,絹笠医院,6038337,北区大将軍南一条町４２－２,462-8527,,北区
2610103299,居宅療養管理指導,,服部医院,6038225,北区紫野南舟岡町１３,441-6351,,北区
2610104123,居宅療養管理指導,,呼吸器科川合医院,6038161,北区小山北大野町４３－３,491-0856,,北区
2610104529,居宅療養管理指導,,内田整形外科,6038376,北区衣笠北天神森町２４ー３,461-3330,,北区
2610104651,居宅療養管理指導,,ふくやまクリニック,6038156,北区小山中溝町３１アーバン紫園１階,417-1522,,北区
2610104669,居宅療養管理指導,,つつみ医院,6038075,北区上賀茂中大路町１２－１,724-2237,,北区
2630101869,居宅療養管理指導,,そりはし歯科医院,6038178,北区紫竹下梅ノ木町６９,494-3710,,北区
2630101828,居宅療養管理指導,,金谷歯科クリニック,6038077,北区上賀茂藤ノ木町２３,781-1273,,北区
2630101745,居宅療養管理指導,,藤本歯科医院,6038341,北区小松原北町１９－１１,463-0218,,北区
2630101737,居宅療養管理指導,,井上歯科医院,6038816,北区西賀茂北川上町７３,492-8254,,北区
2630101547,居宅療養管理指導,,福井歯科医院,6038325,北区北野上白梅町６３,464-7700,,北区
2630101489,居宅療養管理指導,,中野歯科医院,6038162,北区小山東大野町７７,432-4611,,北区
2630101398,居宅療養管理指導,,森下歯科医院,6038327,北区北野西白梅町１９,461-4080,,北区
2630101000,居宅療養管理指導,,服部歯科医院,6038214,北区紫野雲林院町９－４,441-7576,,北区
2630101976,居宅療養管理指導,,ナカエ歯科医院,6038162,北区小山東大野町４０,415-9555,,北区
2640101008,居宅療養管理指導,株式会社こぐま薬局,株式会社こぐま薬局,6038151,北区小山下総町１７の１２,451-1234,,北区
2610104867,居宅療養管理指導,医療法人楽只診療所,医療法人楽只診療所,6038236,北区紫野上御輿町２３の１,491-0232,,北区
2630101984,居宅療養管理指導,,おざわ歯科医院,6038355,北区平野上柳町１１-３２,467-8670,467-8670,北区
2630102016,居宅療養管理指導,,服部歯科医院,6038214,北区紫野雲林院町４９,441-7576,,北区
2630102032,居宅療養管理指導,,小川聖子歯科医院,6038431,北区大宮東脇台町２０,492-6394,,北区
2630102057,居宅療養管理指導,尾上歯科医院,尾上歯科医院,6038061,北区上賀茂荒草町５３の１,706-8811,706-8822,北区
2610104917,居宅療養管理指導,医療法人　大友整形外科,医療法人大友整形外科,6038152,北区鞍馬口通室町西入小山町２２０番地,417-0787,,北区
2640101024,居宅療養管理指導,株式会社ゆうホールディングス,にしがも　ゆう薬局,6038832,北区大宮南田尻町５８,495-1106,,北区
2630102073,居宅療養管理指導,,鈴木歯科医院,6038173,北区小山下初音町１４－４,494-2020,,北区
2640101032,居宅療養管理指導,みやこ薬局株式会社,みやこ薬局北山店,6038434,北区紫竹東栗栖町４９ルミエール北山１Ｆ,493-8989,,北区
2610104941,居宅療養管理指導,,陶山医院,6038171,北区小山上初音町４８,492-3482,,北区
2630102107,居宅療養管理指導,,舟木歯科医院,6038214,北区紫野雲林院町７８,451-4456,,北区
2630102156,居宅療養管理指導,,河端歯科医院,6038425,北区紫野下緑町７７番地,492-2970,,北区
2630102164,居宅療養管理指導,,浅田まひろ歯科医院,6038115,北区紫竹下本町１１,,,北区
2630102172,居宅療養管理指導,,北山内田歯科医院,6038112,北区小山元町５０,493-8886,,北区
2610105021,居宅療養管理指導,,つかもと眼科医院,6038142,北区小山北上総町１０－１,495-4000,,北区
2630102180,居宅療養管理指導,,溝渕歯科医院,6038246,北区紫野西泉堂町６３－２,491-8889,,北区
2610105047,居宅療養管理指導,医療法人吉森内科医院,医療法人吉森内科医院,6038476,北区大宮南箱ノ井町２１の４,493-1625,,北区
2610105062,居宅療養管理指導,医療法人財団康生会,医療法人財団康生会　北山武田病院,6038053,北区上賀茂岩ヶ垣内町９９番地,721-1612,701-7399,北区
2640101115,居宅療養管理指導,有限会社東邦調剤,東邦調剤きぬがさ店,6038353,北区平野上八丁柳町４２－２,467-9501,467-9502,北区
2640101198,居宅療養管理指導,株式会社ゆうホールディングス,加茂川ゆう薬局,6038107,北区紫竹下ノ岸町２１の１メゾンエスポワールハツダ１Ｆ,494-3112,494-3113,北区
2630102248,居宅療養管理指導,,きしもと歯科医院,6038162,北区小山東大野町５２,441-5959,414-6369,北区
2640101214,居宅療養管理指導,みやこ薬局株式会社,みやこ薬局　紫竹店,6038207,北区紫竹牛若町３０番地３,494-3255,494-3256,北区
2640101222,居宅療養管理指導,株式会社ゆうホールディングス,今宮ゆう薬局,6038205,北区紫竹西高縄町３４番地シチクハイネス１Ｆ,494-3760,494-3761,北区
2610105211,居宅療養管理指導,,遠藤医院,6038405,北区大宮西小野堀町２５,491-2680,495-0063,北区
2640101255,居宅療養管理指導,株式会社エスティーユー,のぞみ薬局,6038166,北区紫野上御所田町４５,491-8200,491-8201,北区
2640101271,居宅療養管理指導,株式会社ミルキーファーマシー,調剤薬局　ハーブ,6038165,北区紫野西御所田町３０明治館１階,494-3152,414-3153,北区
2610105278,居宅療養管理指導,医療法人社団都会,医療法人社団都会渡辺西賀茂診療所,6038832,北区大宮南田尻町５９番地,493-4377,,北区
2640101321,居宅療養管理指導,株式会社ファルコファーマシーズ,ファルコ薬局　北山店,6038041,北区上賀茂ケシ山１－４６,706-6680,706-6680,北区
2610105310,居宅療養管理指導,医療法人梁山会,医療法人梁山会診療所,6038331,北区大将軍西町163,461-1555,461-1505,北区
2610105302,居宅療養管理指導,,大澤医院,6038201,北区紫竹桃ノ本町７番地１,432-7030,432-7031,北区
